TradeID,Symbol,Side,Volume,OpenDate,OpenTime,CloseDate,CloseTime,EntryPrice,ExitPrice,SL,TP,Pips,DurationMinutes,Commission,Swap,PnL,Playbook,Notes
57801896,EURUSD,buy,0.02,2026-01-08,17:00:55,2026-01-09,09:33:46,1.16643,1.16419,1.16421,1.17425,-22.4,993,-0.08,0,-4.48,,
59070794,EURUSD,sell,0.02,2026-01-19,18:00:42,2026-01-19,18:04:26,1.16386,1.16387,,,-0.1,4,-0.08,0,-0.02,,
59070799,GBPUSD,sell,0.02,2026-01-19,18:00:48,2026-01-20,04:01:10,1.34208,1.34249,1.34359,,-4.1,600,-0.08,0,-0.82,,
61140236,GBPUSD,sell,0.02,2026-02-06,15:41:43,2026-02-06,16:51:22,1.3584,1.3608,1.36079,,-24.0,70,-0.08,0,-4.8,,
61551033,EURUSD,sell,0.01,2026-02-12,07:58:53,2026-02-12,07:59:58,1.18636,1.1865,1.1865,,-1.4,1,-0.04,0,-0.14,,
61592068,EURUSD,buy,0.03,2026-02-12,15:01:26,2026-02-12,18:13:36,1.18752,1.18752,1.18752,,0.0,192,-0.12,0,0.0,,
62119920,EURUSD,buy,0.03,2026-02-19,09:35:01,2026-02-19,13:18:59,1.17986,1.17827,1.17828,,-15.9,224,-0.12,0,-4.77,,
62350625,GBPUSD,buy,0.02,2026-02-23,09:50:16,2026-02-23,11:17:17,1.35311,1.35074,1.35074,,-23.7,87,-0.08,0,-4.74,,
63116550,EURUSD,buy,0.02,2026-03-04,17:00:50,2026-03-05,17:38:07,1.16206,1.15706,1.15706,,-50.0,1477,-0.08,0,-10.0,,
64068723,GBPUSD,buy,0.04,2026-03-16,10:35:56,2026-03-16,21:24:12,1.32325,1.33236,1.3233,1.33235,91.1,648,-0.16,0,36.44,,
64190864,GBPUSD,sell,0.03,2026-03-17,10:26:19,2026-03-17,11:40:55,1.33003,1.33207,1.33203,,-20.4,75,-0.12,0,-6.12,,
64313968,GBPUSD,sell,0.04,2026-03-18,12:21:25,2026-03-18,14:11:08,1.33525,1.33676,1.33676,,-15.1,110,-0.16,0,-6.04,,
64465418,GBPUSD,sell,0.04,2026-03-19,16:50:58,2026-03-19,16:54:27,1.33258,1.33461,1.3346,,-20.3,3,-0.16,0,-8.12,,
65432852,USDJPY,buy,0.03,2026-04-01,08:49:36,2026-04-01,09:28:47,158.66,158.455,158.455,160.3,-20.5,39,-0.12,0,-3.88,,
65819050,USDJPY,buy,0.05,2026-04-07,11:36:46,2026-04-08,01:32:29,159.519,159.313,159.315,160.351,-20.6,836,-0.2,0,-6.47,,
67653283,EURUSD,sell,0.01,2026-04-28,13:17:32,2026-04-28,13:17:36,1.16905,1.16915,,,-1.0,0,-0.04,0,-0.1,,
68376168,GBPUSD,buy,0.04,2026-05-07,20:33:45,2026-05-07,23:37:33,1.35721,1.35571,1.35572,,-15.0,184,-0.16,0,-6.0,,
70047343,GBPUSD,buy,0.02,2026-05-28,09:22:50,2026-05-28,09:23:24,1.34012,1.34017,,,0.5,1,-0.08,0,0.1,,
70056310,GBPUSD,sell,0.02,2026-05-29,17:53:15,2026-06-08,01:00:34,1.34656,1.33241,1.35014,1.33246,141.5,13387,-0.08,0,28.3,,
71091572,EURUSD,sell,0.02,2026-06-15,01:03:57,2026-06-23,11:00:05,1.16134,1.14124,1.16593,1.14004,201.0,12116,-0.08,0,40.2,,
72342384,GBPUSD,buy,0.02,2026-06-23,14:56:52,2026-06-24,11:14:16,1.32102,1.31752,1.31753,,-35.0,1217,-0.08,0,-7.0,,
73091185,GBPUSD,sell,0.01,2026-07-06,21:26:18,2026-07-09,09:33:47,1.33846,1.34301,1.34301,,-45.5,3607,-0.04,0,-4.55,,
74054619,EURUSD,buy,0.02,2026-07-20,15:16:06,2026-07-23,14:32:10,1.14204,1.13948,1.13948,,-25.6,4276,-0.08,0,-5.12,,
74444538,GBPUSD,sell,0.02,2026-07-30,16:59:42,2026-07-30,19:03:20,1.34276,1.34666,1.34666,,-39.0,124,-0.08,0,-7.8,,
75149744,EURUSD,buy,0.03,2026-08-12,19:49:45,2026-08-17,10:32:03,1.15256,1.16089,1.15052,1.16088,83.3,6642,-0.12,0,24.99,,
75955236,EURUSD,sell,0.03,2026-08-27,16:28:17,2026-08-28,20:07:18,1.16596,1.15837,1.16849,1.15837,75.9,1659,-0.12,0,22.77,,
